AC113430.1	ENST00000506872	5	+	58197	58915	58915	58915	1	58197,	58915,
PLEKHG4B	ENST00000637938	5	+	92150	189970	92231	182323	20	92150,113250,139482,143046,143379,144826,151512,154874,155344,156070,156772,161782,162721,169339,171042,171213,172896,173917,181513,182003,	92276,113448,140716,143256,143503,144920,151599,154991,155443,156210,156911,161944,163548,169592,171132,171444,173067,174098,181675,189970,
PLEKHG4B	ENST00000283426	5	+	140257	189972	140307	182323	18	140257,143046,143379,144826,151512,154874,155344,156070,156772,161782,162721,169339,171042,171213,172896,173917,181513,182003,	140716,143256,143503,144920,151599,154991,155443,156210,156911,161944,163548,169592,171132,171444,173067,174098,181675,189972,
PLEKHG4B	ENST00000502646	5	+	140565	157110	140565	157016	9	140565,143046,143379,144826,151512,154874,155344,156070,156772,	140716,143256,143503,144920,151599,154991,155443,156210,157110,
PLEKHG4B	ENST00000504041	5	+	169052	182589	182589	182589	8	169052,171042,171213,172896,173917,179550,181513,182003,	169592,171132,171444,173067,174098,179754,181675,182589,
RF00019	ENST00000362670	5	-	144086	144197	144197	144197	1	144086,	144197,
LRRC14B	ENST00000328278	5	+	191494	196334	191538	195353	2	191494,194707,	192437,196334,
AC021087.4	ENST00000563761	5	+	195777	196341	196341	196341	1	195777,	196341,
CCDC127	ENST00000296824	5	-	196870	218215	205296	216849	3	196870,216728,218092,	205958,216859,218215,
CCDC127	ENST00000441693	5	-	205872	217218	205872	216849	2	205872,216728,	205958,217218,
AC021087.3	ENST00000565521	5	-	213897	217279	217279	217279	2	213897,217193,	216692,217279,
SDHA	ENST00000617470	5	+	218240	256697	218355	256420	13	218240,223481,224359,225418,230920,233476,235143,236427,240357,250991,251337,254392,256333,	218418,223568,224521,225486,231000,233645,235339,236599,240476,251103,251468,254506,256697,
SDHA	ENST00000504309	5	+	218302	256682	218355	256420	13	218302,223481,224359,225418,225882,228184,230875,233476,235143,236427,240357,254392,256333,	218418,223568,224521,225562,226047,228333,231000,233645,235339,236599,240476,254506,256682,
SDHA	ENST00000502379	5	+	218310	224843	224843	224843	3	218310,223481,224359,	218418,223568,224843,
SDHA	ENST00000505555	5	+	218315	251864	251864	251864	13	218315,223481,224359,225418,225882,228184,230875,233476,235143,236427,240357,250991,251337,	218418,223568,224521,225562,226047,228333,231000,233645,235339,236599,240476,251103,251864,
SDHA	ENST00000510361	5	+	218317	256679	218355	256420	14	218317,223481,224359,225882,228184,230875,233476,235143,236427,240357,250991,251337,254392,256333,	218418,223568,224521,226047,228333,231000,233645,235339,236599,240476,251103,251468,254506,256679,
SDHA	ENST00000264932	5	+	218319	257082	218355	256420	15	218319,223481,224359,225418,225882,228184,230875,233476,235143,236427,240357,250991,251337,254392,256333,	218418,223568,224521,225562,226047,228333,231000,233645,235339,236599,240476,251103,251468,254506,257082,
SDHA	ENST00000509632	5	+	218326	225562	218355	224381	5	218326,220239,223481,224359,225418,	218418,220337,223568,224521,225562,
SDHA	ENST00000504824	5	+	218370	235524	235524	235524	9	218370,223481,224359,225418,225882,228184,230875,233476,235143,	218418,223568,224521,225562,226047,228333,231000,233645,235524,
SDHA	ENST00000509420	5	+	225632	230891	230891	230891	3	225632,228184,230875,	226047,228333,230891,
SDHA	ENST00000514027	5	+	227608	256679	256679	256679	10	227608,230875,233476,235143,236427,240357,250991,251337,254392,256333,	228333,231000,233645,235339,236599,240476,251103,251468,254506,256679,
SDHA	ENST00000514233	5	+	227625	233629	233629	233629	4	227625,228184,230875,233476,	227756,228333,231000,233629,
SDHA	ENST00000512962	5	+	230942	236516	236516	236516	3	230942,233476,236301,	231000,234138,236516,
SDHA	ENST00000515752	5	+	230942	256648	256648	256648	8	230942,233476,236301,240357,250991,251337,254392,256333,	231000,234138,236599,240476,251103,251468,254506,256648,
SDHA	ENST00000511810	5	+	234420	256679	256679	256679	6	234420,240357,250991,251337,254392,256333,	236599,240476,251103,251468,254506,256679,
